step,train_loss,val_wer,val_cer,lr,vram_gb,time_sec
250,0.3138,0.6766,0.295,1.00e-04,1.86,1989
500,0.2271,0.6338,0.2715,9.90e-05,1.85,3980
750,0.2219,0.6215,0.2697,9.68e-05,1.85,5988
1000,0.1924,0.6332,0.2631,9.33e-05,1.86,7990
1250,0.1728,0.6384,0.2986,8.87e-05,1.85,10020
1500,0.1615,1.118,0.6926,8.30e-05,1.86,12188
1750,0.1629,0.9157,0.7168,7.64e-05,1.85,14315
2000,0.1398,1.0169,0.8655,6.91e-05,1.84,16565
2250,0.1416,0.8328,0.5677,6.14e-05,1.84,18647
2500,0.1377,0.9598,0.6856,5.33e-05,1.85,20805
2750,0.1419,1.0454,0.7864,4.51e-05,1.86,23031
3000,0.1303,0.9799,0.8314,3.71e-05,1.84,25266
3250,0.1204,0.9689,0.6649,2.94e-05,1.85,27410
3500,0.1227,0.9624,0.7609,2.22e-05,1.84,29611
3750,0.1190,0.9676,0.7212,1.58e-05,1.85,31788
4000,0.1116,0.9546,0.6986,1.03e-05,1.85,33955
4250,0.1058,0.9844,0.7314,5.90e-06,1.85,36155
4500,0.1111,0.9501,0.702,2.65e-06,1.85,38330
4750,0.1032,0.9384,0.7046,6.68e-07,1.85,40508
5000,0.1133,0.9728,0.7096,0.00e+00,1.86,42685
