epoch,train_loss,val_loss,ccc_v,ccc_a,ccc_d,ccc_mean,lr,time_sec
1,0.5093,0.5803,0.8150,0.7947,0.7701,0.7933,1.00e-04,22
2,0.3305,0.6109,0.6876,0.7871,0.7558,0.7435,1.00e-04,21
3,0.2794,0.5508,0.8918,0.9029,0.8290,0.8746,1.00e-04,21
4,0.2459,0.5648,0.8560,0.8061,0.8953,0.8524,1.00e-04,21
5,0.2331,0.5940,0.7373,0.8193,0.8375,0.7980,1.00e-04,21
6,0.2135,0.5753,0.8038,0.8475,0.8532,0.8349,1.00e-04,21
7,0.1897,0.5523,0.8624,0.8879,0.9187,0.8897,1.00e-04,21
8,0.1888,0.5512,0.8589,0.9161,0.8652,0.8801,1.00e-04,21
9,0.1783,0.5835,0.7702,0.8633,0.8164,0.8167,1.00e-04,21
10,0.1761,0.5385,0.8898,0.9297,0.9252,0.9149,1.00e-04,21
11,0.1763,0.5421,0.9001,0.8857,0.9213,0.9024,1.00e-04,21
12,0.1771,0.5517,0.8588,0.9027,0.8716,0.8777,1.00e-04,21
13,0.1668,0.5823,0.7445,0.8558,0.8523,0.8176,1.00e-04,21
14,0.1753,0.5411,0.9223,0.8950,0.8731,0.8968,1.00e-04,21
15,0.1737,0.5635,0.8313,0.8618,0.9081,0.8671,1.00e-04,21
16,0.1638,0.5777,0.7995,0.8581,0.8025,0.8200,1.00e-04,21
17,0.1569,0.5471,0.8598,0.9062,0.9192,0.8951,5.00e-05,21
18,0.1461,0.5474,0.8952,0.8926,0.8954,0.8944,5.00e-05,21
